m1.kg,m2.kg,mc.kg,x.m,t.s,source
0.000,0.200,0.500,0.45,0.56,krasnopolsky
0.000,0.200,0.500,0.45,0.55,krasnopolsky
0.000,0.200,0.500,0.45,0.58,krasnopolsky
0.000,0.500,0.500,0.45,0.44,krasnopolsky
0.000,0.500,0.500,0.45,0.46,krasnopolsky
0.000,0.500,0.500,0.45,0.48,krasnopolsky
0.000,1.000,0.500,0.45,0.36,krasnopolsky
0.000,1.000,0.500,0.45,0.37,krasnopolsky
0.000,1.000,0.500,0.45,0.36,krasnopolsky
0.000,1.200,0.500,0.45,0.32,krasnopolsky
0.000,1.200,0.500,0.45,0.31,krasnopolsky
0.000,1.200,0.500,0.45,0.31,krasnopolsky
0.000,1.500,0.500,0.45,0.30,krasnopolsky
0.000,1.500,0.500,0.45,0.29,krasnopolsky
0.000,1.500,0.500,0.45,0.31,krasnopolsky
